name,make,model,kilometerdriven,ownernumber,price,fueltype_num,transmission_num,isc24assured_num,age
Honda City,Honda,City,60974,2,481000,1,1,0,13
Maruti Baleno,Maruti,Baleno,14602,1,919000,1,2,0,4
Maruti Swift,Maruti,Swift,58738,2,402000,1,1,0,9
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,42247,2,393000,1,1,0,7
Maruti Ciaz,Maruti,Ciaz,19906,1,714000,1,1,0,7
Datsun Go Plus,Datsun,Go Plus,15755,2,487000,1,2,0,5
Nissan Micra Active,Nissan,Micra Active,82635,2,418000,1,1,0,8
Maruti Alto,Maruti,Alto,35383,1,425000,2,1,0,5
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,85998,1,328000,2,1,0,12
Maruti Eeco,Maruti,Eeco,6882,1,532000,1,1,0,4
Hyundai Elite i20,Hyundai,Elite I20,78942,1,529000,3,1,0,11
Maruti Baleno,Maruti,Baleno,13127,2,675000,1,1,0,4
Maruti Baleno,Maruti,Baleno,17476,2,612000,1,1,0,7
Hyundai i10,Hyundai,I10,27555,1,318000,1,1,0,11
Maruti Vitara Brezza,Maruti,Vitara Brezza,62578,2,945000,3,1,0,7
Hyundai Creta,Hyundai,Creta,48064,2,1024000,1,1,0,6
Hyundai Grand i10,Hyundai,Grand I10,53604,2,422000,1,1,0,11
Mahindra Thar,Mahindra,Thar,15758,1,1615000,3,2,0,4
Maruti Dzire,Maruti,Dzire,26370,1,628000,1,1,0,8
Maruti Alto K10,Maruti,Alto K10,8041,1,419199,1,2,0,6
Hyundai Creta,Hyundai,Creta,55519,1,815000,1,1,0,10
Hyundai VENUE,Hyundai,Venue,23817,1,1149000,1,2,0,5
Maruti Baleno,Maruti,Baleno,47645,2,510300,1,1,0,8
Tata NEXON,Tata,Nexon,26642,1,917000,1,2,0,6
Honda WR-V,Honda,Wr-V,17352,1,866349,1,1,0,4
Maruti Dzire,Maruti,Dzire,27563,1,554799,1,1,0,7
Maruti Celerio,Maruti,Celerio,96450,2,351000,1,2,0,11
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,37740,1,384000,1,1,0,10
Maruti Swift,Maruti,Swift,37307,1,387799,1,1,0,10
Hyundai Creta,Hyundai,Creta,50591,1,1211000,3,1,0,7
Renault Kwid,Renault,Kwid,20884,1,393000,1,1,0,6
Maruti Vitara Brezza,Maruti,Vitara Brezza,63385,1,686000,3,1,0,9
Maruti Alto 800,Maruti,Alto 800,35391,2,244000,1,1,0,10
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,27380,1,365000,1,1,0,11
Toyota YARIS,Toyota,Yaris,14652,1,778000,1,1,0,7
Hyundai Santro Xing,Hyundai,Santro Xing,87381,1,272000,1,1,0,13
Maruti Alto K10,Maruti,Alto K10,23981,1,317200,1,1,0,11
Maruti S PRESSO,Maruti,S Presso,10704,1,477000,1,1,0,5
Hyundai VENUE,Hyundai,Venue,26511,1,936000,1,1,0,5
Maruti Swift,Maruti,Swift,53005,1,545000,1,1,0,8
Maruti Swift,Maruti,Swift,65033,1,344000,1,1,0,12
Maruti Celerio,Maruti,Celerio,61421,2,378000,2,1,0,10
Honda WR-V,Honda,Wr-V,21732,1,707000,1,1,0,6
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,73462,1,277000,1,1,0,12
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,11995,2,436000,1,1,0,8
Tata NEXON,Tata,Nexon,10422,1,1182000,3,1,0,3
Maruti Ciaz,Maruti,Ciaz,34053,1,836000,1,1,0,6
Hyundai VENUE,Hyundai,Venue,24576,1,1065000,1,2,0,6
Hyundai NEW SANTRO,Hyundai,New Santro,5386,2,511000,1,1,0,7
Hyundai NEW SANTRO,Hyundai,New Santro,34138,1,526000,1,1,0,4
Hyundai Verna,Hyundai,Verna,56134,2,1087000,3,2,0,7
Hyundai Grand i10,Hyundai,Grand I10,28323,1,458000,1,1,0,8
Maruti Alto 800,Maruti,Alto 800,46994,2,238000,1,1,0,10
Hyundai Grand i10,Hyundai,Grand I10,62017,1,510000,1,2,0,8
Hyundai Creta,Hyundai,Creta,19029,1,964000,1,1,0,7
Hyundai NEW SANTRO,Hyundai,New Santro,30223,2,425000,1,1,0,7
KIA SELTOS,Kia,Seltos,19970,1,1165300,1,1,0,6
Maruti Swift,Maruti,Swift,11552,1,706000,1,1,0,5
Maruti Baleno,Maruti,Baleno,32235,1,640000,1,0,0,7
Maruti Alto 800,Maruti,Alto 800,91485,1,346000,2,1,0,6
Maruti New  Wagon-R,Maruti,New  Wagon-R,35822,1,515000,1,1,0,6
Maruti Swift Dzire,Maruti,Swift Dzire,84755,2,529000,1,1,0,12
Nissan MAGNITE,Nissan,Magnite,2164,1,1131000,1,0,0,3
Honda City,Honda,City,52547,1,664000,1,1,0,11
Maruti Swift,Maruti,Swift,81979,2,331000,1,1,0,12
Maruti Celerio X,Maruti,Celerio X,29801,1,544000,1,1,0,5
Honda Amaze,Honda,Amaze,66473,1,394000,1,1,0,11
Hyundai AURA,Hyundai,Aura,9215,1,840000,2,1,0,3
Maruti Dzire,Maruti,Dzire,50066,1,733000,3,2,0,7
KIA SELTOS,Kia,Seltos,23502,1,1682000,3,2,0,5
Maruti Baleno,Maruti,Baleno,89353,1,565000,1,1,0,10
Renault Kiger,Renault,Kiger,4062,1,860000,1,2,0,3
Hyundai i20,Hyundai,I20,56159,1,338500,1,1,0,13
Maruti Alto 800,Maruti,Alto 800,13953,1,359000,1,1,0,6
Hyundai i10,Hyundai,I10,80684,2,304000,1,2,0,15
Ford Figo Aspire,Ford,Figo Aspire,47681,1,669000,2,1,0,6
Maruti S Cross,Maruti,S Cross,47578,1,967000,3,1,0,7
Maruti Baleno,Maruti,Baleno,24530,1,712000,1,1,0,4
Honda Brio,Honda,Brio,51326,1,397000,1,2,0,11
Honda City,Honda,City,68828,2,729200,1,1,0,8
Maruti Baleno,Maruti,Baleno,42841,1,802000,1,1,0,5
Maruti Alto,Maruti,Alto,18354,1,461000,2,1,0,4
Maruti Alto 800,Maruti,Alto 800,20786,2,353000,1,1,0,7
Hyundai NEW SANTRO,Hyundai,New Santro,48799,1,520000,1,1,0,6
Honda Brio,Honda,Brio,42454,1,296000,1,1,0,13
Honda WR-V,Honda,Wr-V,90079,1,814000,1,1,0,7
Maruti Baleno,Maruti,Baleno,28969,1,626000,1,1,0,7
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,50684,1,353000,1,1,0,10
KIA SELTOS,Kia,Seltos,10381,1,1079000,1,1,0,5
Maruti Swift,Maruti,Swift,14307,1,543000,1,1,0,8
Mahindra Thar,Mahindra,Thar,5377,1,1685800,1,2,0,4
Maruti Dzire,Maruti,Dzire,30850,1,630000,1,1,0,7
Mahindra Kuv100,Mahindra,Kuv100,16095,2,492000,1,1,0,8
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,2135,1,754000,1,1,0,4
Ford New Figo,Ford,New Figo,23027,1,600200,1,1,0,6
Hyundai Grand i10,Hyundai,Grand I10,75662,1,479000,1,2,0,11
Maruti Swift,Maruti,Swift,1967,1,697000,1,1,0,6
Maruti Dzire,Maruti,Dzire,42688,1,706000,3,1,0,8
Maruti Alto K10,Maruti,Alto K10,12343,1,408000,1,1,0,7
Hyundai Grand i10,Hyundai,Grand I10,53475,1,548000,1,1,0,8
Ford Ecosport,Ford,Ecosport,15344,1,916200,1,2,0,5
Honda City,Honda,City,87312,2,411000,1,1,0,13
Tata NEXON,Tata,Nexon,20309,1,1032000,1,1,0,5
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,64888,1,487000,2,1,0,7
Hyundai Creta,Hyundai,Creta,34127,1,1134000,1,1,0,7
Renault Kwid,Renault,Kwid,36217,1,436100,1,2,0,7
Maruti New  Wagon-R,Maruti,New  Wagon-R,14216,1,495000,1,1,0,6
MARUTI BREZZA,Maruti,Brezza,1286,1,1295000,1,0,0,3
Maruti Baleno,Maruti,Baleno,9299,1,598000,1,0,0,8
Ford Ecosport,Ford,Ecosport,38203,1,475000,1,1,0,11
Maruti New  Wagon-R,Maruti,New  Wagon-R,36015,1,610000,2,1,0,4
Ford Ecosport,Ford,Ecosport,64778,1,868000,1,1,0,6
Honda Jazz,Honda,Jazz,44464,1,557000,1,1,0,9
Honda Amaze,Honda,Amaze,93712,1,721500,3,1,0,6
Maruti Alto 800,Maruti,Alto 800,68017,1,304000,1,1,0,7
Skoda Rapid,Skoda,Rapid,91539,2,461000,1,1,0,12
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,15590,1,629000,1,1,0,5
Hyundai Creta,Hyundai,Creta,38650,1,1292000,3,2,0,7
Skoda Rapid,Skoda,Rapid,25683,1,1128000,1,1,0,5
Mahindra XUV500,Mahindra,Xuv500,34983,2,1472000,3,2,0,7
Tata NEXON,Tata,Nexon,78374,1,717899,3,1,0,7
Maruti Alto,Maruti,Alto,6327,3,366000,1,1,0,5
Hyundai New Elantra,Hyundai,New Elantra,85761,2,930300,3,2,0,10
Hyundai NEW SANTRO,Hyundai,New Santro,17723,1,525000,1,2,0,6
Maruti Baleno,Maruti,Baleno,37499,1,658000,1,1,0,7
Maruti Ciaz,Maruti,Ciaz,39267,1,744000,1,1,0,6
Hyundai Grand i10,Hyundai,Grand I10,17614,1,529000,1,1,0,8
Ford Ecosport,Ford,Ecosport,22498,1,932000,3,1,0,5
Hyundai Grand i10,Hyundai,Grand I10,53100,1,546000,1,2,0,9
Maruti Ciaz,Maruti,Ciaz,60613,1,609000,1,1,0,10
Renault Kwid,Renault,Kwid,16118,2,363000,1,1,0,5
Honda Amaze,Honda,Amaze,54128,2,435000,1,1,0,11
Maruti Alto 800,Maruti,Alto 800,86063,1,206000,1,1,0,13
Hyundai Xcent,Hyundai,Xcent,93077,1,523000,3,1,0,7
Hyundai Elite i20,Hyundai,Elite I20,27205,1,688000,1,1,0,6
Maruti Swift Dzire,Maruti,Swift Dzire,55095,1,488000,1,1,0,11
Maruti Alto K10,Maruti,Alto K10,59976,1,199000,1,1,0,13
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,61324,2,361000,1,1,0,11
Tata Tiago,Tata,Tiago,16183,1,613300,1,1,0,4
Honda City,Honda,City,76317,2,713000,1,1,0,7
Toyota URBAN CRUISER,Toyota,Urban Cruiser,10051,1,1143000,1,0,0,5
Maruti S Cross,Maruti,S Cross,22190,2,1047000,1,0,0,4
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,30010,1,610000,1,1,0,5
Maruti Baleno,Maruti,Baleno,42941,2,683000,1,1,0,6
Maruti Alto,Maruti,Alto,42280,1,406000,1,1,0,6
Renault Kwid,Renault,Kwid,89059,1,345000,1,1,0,6
Skoda Rapid,Skoda,Rapid,9661,1,1124000,1,2,0,5
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,33632,2,387000,1,1,0,7
Honda City,Honda,City,88963,1,729000,1,1,0,7
Renault TRIBER,Renault,Triber,17385,1,670599,1,1,0,6
Ford FREESTYLE,Ford,Freestyle,37060,2,643000,3,1,0,7
Honda City,Honda,City,49304,1,647000,1,1,0,11
Hyundai Grand i10,Hyundai,Grand I10,50018,2,453000,1,1,0,8
Maruti Celerio,Maruti,Celerio,59919,1,426000,1,2,0,9
Maruti Celerio,Maruti,Celerio,64299,1,481000,1,1,0,7
Renault Kwid,Renault,Kwid,19499,2,477000,1,1,0,5
Hyundai VENUE,Hyundai,Venue,28577,1,893000,1,1,0,6
Maruti Vitara Brezza,Maruti,Vitara Brezza,31785,1,917000,3,2,0,6
Hyundai Elite i20,Hyundai,Elite I20,78491,2,489000,1,1,0,10
Volkswagen Vento,Volkswagen,Vento,23049,1,851000,1,1,0,4
Hyundai Eon,Hyundai,Eon,13842,2,412000,1,1,0,7
Honda City,Honda,City,30069,1,869000,1,1,0,8
Honda WR-V,Honda,Wr-V,38216,2,791000,1,1,0,6
Tata NEXON,Tata,Nexon,64609,1,939000,3,2,0,6
Maruti Swift,Maruti,Swift,92171,1,535000,2,1,0,8
Hyundai Grand i10,Hyundai,Grand I10,54138,2,588000,1,1,0,8
Tata Hexa,Tata,Hexa,44935,1,1475499,3,2,0,7
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,33116,1,696000,1,2,0,6
MG HECTOR,Mg,Hector,29646,1,1615000,1,2,0,6
Hyundai Grand i10,Hyundai,Grand I10,59461,1,429000,1,1,0,9
Maruti Celerio,Maruti,Celerio,89184,2,455000,1,2,0,7
Hyundai Elite i20,Hyundai,Elite I20,85348,2,539199,1,1,0,8
Maruti Swift,Maruti,Swift,37591,1,408000,1,1,0,12
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,37831,2,218599,1,1,0,14
Hyundai Creta,Hyundai,Creta,20105,1,1023000,1,1,0,9
Hyundai Grand i10,Hyundai,Grand I10,25378,2,467000,1,1,0,8
Hyundai New Elantra,Hyundai,New Elantra,25472,2,1436000,3,1,0,6
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,3309,1,684000,1,1,0,5
Honda WR-V,Honda,Wr-V,16768,1,707000,1,1,0,8
Hyundai Grand i10,Hyundai,Grand I10,9847,1,558000,1,2,0,8
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,35275,1,501000,2,1,0,7
Maruti Alto K10,Maruti,Alto K10,24358,1,390000,1,1,0,7
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,61027,2,323000,1,1,0,11
Hyundai Grand i10,Hyundai,Grand I10,46696,1,431000,1,1,0,9
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,21187,1,767000,2,1,0,4
Maruti Swift,Maruti,Swift,25341,1,890000,1,0,0,3
Maruti Celerio,Maruti,Celerio,90006,1,341000,1,1,0,11
Volkswagen Polo,Volkswagen,Polo,32927,1,693199,1,1,0,6
Hyundai Creta,Hyundai,Creta,72825,1,903000,1,1,0,9
Maruti Celerio,Maruti,Celerio,38266,1,439000,1,2,0,7
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,33177,2,423000,1,2,0,9
Hyundai Elite i20,Hyundai,Elite I20,14449,1,809000,1,2,0,6
Jeep Compass,Jeep,Compass,58801,1,1443000,3,1,0,7
Maruti New  Wagon-R,Maruti,New  Wagon-R,90293,1,584000,2,1,0,5
Maruti Ciaz,Maruti,Ciaz,28892,1,814000,1,1,0,6
Honda WR-V,Honda,Wr-V,65225,1,696000,1,1,0,6
Maruti New  Wagon-R,Maruti,New  Wagon-R,13184,1,515000,1,1,0,6
Maruti Dzire,Maruti,Dzire,21477,1,678000,1,2,0,6
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,8221,1,712000,1,1,0,5
Honda City,Honda,City,48108,2,666000,1,1,0,9
Volkswagen Vento,Volkswagen,Vento,78458,1,905000,3,2,0,7
Hyundai Xcent,Hyundai,Xcent,39496,1,533000,1,1,0,8
Mahindra XUV 3OO,Mahindra,Xuv 3Oo,30557,1,919000,1,0,0,5
Maruti S PRESSO,Maruti,S Presso,9486,1,446000,1,1,0,4
Hyundai Creta,Hyundai,Creta,16652,1,1426000,1,2,0,6
MG HECTOR,Mg,Hector,56633,1,1416000,1,1,0,6
Hyundai Grand i10,Hyundai,Grand I10,50433,1,504000,1,1,0,8
Hyundai Eon,Hyundai,Eon,37163,1,307000,1,1,0,9
